size,sizeUSD,spreadBps,priceImpactBps,grossProfit,totalCosts,netProfit,netProfitBps,profitable
5000,5000.00,293.1,0.7,146.5317,29.8554,116.6763,233.4,true
10000,10000.00,335.0,0.9,335.0252,59.9687,275.0565,275.1,true
20000,20000.00,238.7,1.3,477.3411,120.7033,356.6379,178.3,true
40000,40000.00,122.1,1.9,488.2910,243.6095,244.6815,61.2,false
80000,80000.00,97.0,2.7,776.0857,493.4863,282.5995,35.3,false
5000,5000.00,220.9,0.7,110.4399,29.8554,80.5845,161.2,true
10000,10000.00,144.1,0.9,144.0575,59.9687,84.0888,84.1,true
20000,20000.00,168.9,1.3,337.8264,120.7033,217.1231,108.6,true
40000,40000.00,110.1,1.9,440.2357,243.6095,196.6263,49.2,false
80000,80000.00,143.3,2.7,1146.5916,493.4863,653.1053,81.6,true
5000,5000.00,204.0,0.7,102.0014,29.8554,72.1460,144.3,true
10000,10000.00,50.8,0.9,50.7721,59.9687,-9.1966,-9.2,false
20000,20000.00,200.1,1.3,400.2761,120.7033,279.5729,139.8,true
40000,40000.00,296.9,1.9,1187.5757,243.6095,943.9662,236.0,true
80000,80000.00,283.4,2.7,2266.8053,493.4863,1773.3190,221.7,true
5000,5000.00,196.8,0.7,98.3781,29.8554,68.5227,137.0,true
10000,10000.00,182.9,0.9,182.8933,59.9687,122.9246,122.9,true
20000,20000.00,211.6,1.3,423.2317,120.7033,302.5284,151.3,true
40000,40000.00,79.3,1.9,317.1550,243.6095,73.5455,18.4,false
80000,80000.00,235.6,2.7,1884.8992,493.4863,1391.4130,173.9,true
5000,5000.00,115.4,0.7,57.6995,29.8554,27.8441,55.7,false
10000,10000.00,99.0,0.9,99.0404,59.9687,39.0717,39.1,false
20000,20000.00,178.9,1.3,357.8399,120.7033,237.1366,118.6,true
40000,40000.00,87.5,1.9,350.0766,243.6095,106.4671,26.6,false
80000,80000.00,142.8,2.7,1142.7799,493.4863,649.2937,81.2,true
5000,5000.00,279.8,0.7,139.8954,29.8554,110.0400,220.1,true
10000,10000.00,309.1,0.9,309.0814,59.9687,249.1127,249.1,true
20000,20000.00,353.5,1.3,706.9625,120.7033,586.2592,293.1,true
40000,40000.00,333.4,1.9,1333.4669,243.6095,1089.8574,272.5,true
80000,80000.00,98.1,2.7,785.1757,493.4863,291.6895,36.5,false
5000,5000.00,248.3,0.7,124.1684,29.8554,94.3130,188.6,true
10000,10000.00,229.1,0.9,229.1238,59.9687,169.1551,169.2,true
20000,20000.00,211.4,1.3,422.7867,120.7033,302.0834,151.0,true
40000,40000.00,307.9,1.9,1231.5897,243.6095,987.9802,247.0,true
80000,80000.00,361.1,2.7,2889.0663,493.4863,2395.5800,299.4,true
5000,5000.00,202.6,0.7,101.3109,29.8554,71.4555,142.9,true
10000,10000.00,288.3,0.9,288.3007,59.9687,228.3320,228.3,true
20000,20000.00,256.2,1.3,512.3244,120.7033,391.6211,195.8,true
40000,40000.00,145.4,1.9,581.5125,243.6095,337.9030,84.5,true
80000,80000.00,259.0,2.7,2071.7010,493.4863,1578.2147,197.3,true
5000,5000.00,164.6,0.7,82.2800,29.8554,52.4246,104.8,true
10000,10000.00,197.6,0.9,197.6021,59.9687,137.6334,137.6,true
20000,20000.00,102.8,1.3,205.6569,120.7033,84.9536,42.5,false
40000,40000.00,161.3,1.9,645.2507,243.6095,401.6412,100.4,true
80000,80000.00,54.8,2.7,438.2105,493.4863,-55.2758,-6.9,false
5000,5000.00,253.6,0.7,126.8012,29.8554,96.9457,193.9,true
10000,10000.00,322.7,0.9,322.6585,59.9687,262.6898,262.7,true
20000,20000.00,239.8,1.3,479.6666,120.7033,358.9633,179.5,true
40000,40000.00,360.5,1.9,1442.0213,243.6095,1198.4118,299.6,true
80000,80000.00,160.4,2.7,1283.3247,493.4863,789.8385,98.7,true
5000,5000.00,240.3,0.7,120.1641,29.8554,90.3087,180.6,true
10000,10000.00,148.6,0.9,148.6187,59.9687,88.6500,88.7,true
20000,20000.00,93.1,1.3,186.2249,120.7033,65.5216,32.8,false
40000,40000.00,29.1,1.9,116.4592,243.6095,-127.1503,-31.8,false
80000,80000.00,139.7,2.7,1117.4503,493.4863,623.9640,78.0,true
5000,5000.00,213.5,0.7,106.7275,29.8554,76.8721,153.7,true
10000,10000.00,220.2,0.9,220.1845,59.9687,160.2158,160.2,true
20000,20000.00,175.4,1.3,350.7668,120.7033,230.0635,115.0,true
40000,40000.00,356.0,1.9,1424.0368,243.6095,1180.4273,295.1,true
80000,80000.00,170.9,2.7,1367.5928,493.4863,874.1066,109.3,true
5000,5000.00,324.6,0.7,162.3208,29.8554,132.4654,264.9,true
10000,10000.00,123.3,0.9,123.2607,59.9687,63.2920,63.3,false
20000,20000.00,266.3,1.3,532.5883,120.7033,411.8851,205.9,true
40000,40000.00,132.6,1.9,530.2585,243.6095,286.6490,71.7,false
80000,80000.00,277.2,2.7,2217.4486,493.4863,1723.9623,215.5,true
5000,5000.00,142.5,0.7,71.2734,29.8554,41.4179,82.8,true
10000,10000.00,217.8,0.9,217.7802,59.9687,157.8115,157.8,true
20000,20000.00,276.9,1.3,553.8492,120.7033,433.1459,216.6,true
40000,40000.00,155.6,1.9,622.5561,243.6095,378.9467,94.7,true
80000,80000.00,282.9,2.7,2263.4397,493.4863,1769.9535,221.2,true
5000,5000.00,80.2,0.7,40.1070,29.8554,10.2516,20.5,false
10000,10000.00,199.7,0.9,199.6612,59.9687,139.6925,139.7,true
20000,20000.00,237.3,1.3,474.6818,120.7033,353.9785,177.0,true
40000,40000.00,230.9,1.9,923.6768,243.6095,680.0674,170.0,true
80000,80000.00,67.8,2.7,542.0034,493.4863,48.5171,6.1,false
5000,5000.00,157.2,0.7,78.5903,29.8554,48.7349,97.5,true
10000,10000.00,225.7,0.9,225.6733,59.9687,165.7046,165.7,true
20000,20000.00,205.6,1.3,411.2934,120.7033,290.5901,145.3,true
40000,40000.00,226.1,1.9,904.5459,243.6095,660.9364,165.2,true
80000,80000.00,167.4,2.7,1339.1929,493.4863,845.7066,105.7,true
5000,5000.00,194.1,0.7,97.0671,29.8554,67.2117,134.4,true
10000,10000.00,266.0,0.9,266.0288,59.9687,206.0601,206.1,true
20000,20000.00,114.2,1.3,228.3273,120.7033,107.6241,53.8,false
40000,40000.00,180.6,1.9,722.2298,243.6095,478.6203,119.7,true
80000,80000.00,329.3,2.7,2634.0087,493.4863,2140.5225,267.6,true
5000,5000.00,107.1,0.7,53.5410,29.8554,23.6856,47.4,false
10000,10000.00,278.3,0.9,278.2775,59.9687,218.3088,218.3,true
20000,20000.00,55.8,1.3,111.5309,120.7033,-9.1724,-4.6,false
40000,40000.00,372.6,1.9,1490.3987,243.6095,1246.7893,311.7,true
80000,80000.00,242.6,2.7,1940.6933,493.4863,1447.2071,180.9,true
5000,5000.00,155.2,0.7,77.6131,29.8554,47.7577,95.5,true
10000,10000.00,264.6,0.9,264.6298,59.9687,204.6611,204.7,true
20000,20000.00,121.3,1.3,242.6611,120.7033,121.9579,61.0,false
40000,40000.00,219.9,1.9,879.5397,243.6095,635.9303,159.0,true
80000,80000.00,136.2,2.7,1089.5198,493.4863,596.0336,74.5,false
5000,5000.00,172.1,0.7,86.0621,29.8554,56.2067,112.4,true
10000,10000.00,325.3,0.9,325.3135,59.9687,265.3448,265.3,true
20000,20000.00,188.3,1.3,376.6539,120.7033,255.9506,128.0,true
40000,40000.00,311.9,1.9,1247.4651,243.6095,1003.8556,251.0,true
80000,80000.00,209.5,2.7,1676.3058,493.4863,1182.8195,147.9,true
5000,5000.00,171.1,0.7,85.5398,29.8554,55.6844,111.4,true
10000,10000.00,181.5,0.9,181.5144,59.9687,121.5458,121.5,true
20000,20000.00,306.8,1.3,613.5425,120.7033,492.8392,246.4,true
40000,40000.00,81.7,1.9,326.9769,243.6095,83.3674,20.8,false
80000,80000.00,211.1,2.7,1688.4435,493.4863,1194.9573,149.4,true
5000,5000.00,218.6,0.7,109.3154,29.8554,79.4600,158.9,true
10000,10000.00,155.3,0.9,155.3098,59.9687,95.3411,95.3,true
20000,20000.00,290.0,1.3,579.9661,120.7033,459.2628,229.6,true
40000,40000.00,189.2,1.9,756.7592,243.6095,513.1497,128.3,true
80000,80000.00,338.4,2.7,2707.3675,493.4863,2213.8813,276.7,true
5000,5000.00,157.7,0.7,78.8556,29.8554,49.0002,98.0,true
10000,10000.00,149.2,0.9,149.1706,59.9687,89.2020,89.2,true
20000,20000.00,243.6,1.3,487.2430,120.7033,366.5397,183.3,true
40000,40000.00,128.2,1.9,512.6218,243.6095,269.0124,67.3,false
80000,80000.00,320.3,2.7,2562.3648,493.4863,2068.8786,258.6,true
5000,5000.00,367.0,0.7,183.4958,29.8554,153.6404,307.3,true
10000,10000.00,299.6,0.9,299.5725,59.9687,239.6038,239.6,true
20000,20000.00,204.7,1.3,409.4722,120.7033,288.7689,144.4,true
40000,40000.00,135.0,1.9,539.8519,243.6095,296.2424,74.1,false
80000,80000.00,127.9,2.7,1023.4536,493.4863,529.9674,66.2,false
5000,5000.00,375.3,0.7,187.6458,29.8554,157.7903,315.6,true
10000,10000.00,164.9,0.9,164.9306,59.9687,104.9619,105.0,true
20000,20000.00,218.4,1.3,436.8051,120.7033,316.1018,158.1,true
40000,40000.00,246.4,1.9,985.4411,243.6095,741.8317,185.5,true
80000,80000.00,265.8,2.7,2126.7649,493.4863,1633.2787,204.2,true
5000,5000.00,159.5,0.7,79.7491,29.8554,49.8936,99.8,true
10000,10000.00,223.6,0.9,223.6054,59.9687,163.6367,163.6,true
20000,20000.00,206.5,1.3,412.9021,120.7033,292.1988,146.1,true
40000,40000.00,77.4,1.9,309.5372,243.6095,65.9277,16.5,false
80000,80000.00,141.4,2.7,1131.5959,493.4863,638.1097,79.8,true
5000,5000.00,71.6,0.7,35.7900,29.8554,5.9346,11.9,false
10000,10000.00,164.1,0.9,164.0993,59.9687,104.1307,104.1,true
20000,20000.00,219.3,1.3,438.5861,120.7033,317.8828,158.9,true
40000,40000.00,174.0,1.9,696.0338,243.6095,452.4243,113.1,true
80000,80000.00,236.1,2.7,1889.1066,493.4863,1395.6204,174.5,true
5000,5000.00,121.8,0.7,60.8932,29.8554,31.0378,62.1,false
10000,10000.00,85.7,0.9,85.7124,59.9687,25.7437,25.7,false
20000,20000.00,288.8,1.3,577.5736,120.7033,456.8703,228.4,true
40000,40000.00,223.2,1.9,892.9708,243.6095,649.3613,162.3,true
